ID,LV,Value1,Sum1,EXP1,Value2,Sum2,EXP2,Value3,Sum3,EXP3
92301,1,1.0,2.0,150000,0.20,5.20,3000,0.5,5.5,2500
92302,2,1.0,3.0,600000,0.20,5.40,3750,0.2,5.7,2875
92303,3,0.0,0.0,0,0.25,5.65,4500,0.2,5.9,3375
92304,4,0.0,0.0,0,0.25,5.90,6000,0.3,6.2,4625
92305,5,0.0,0.0,0,0.35,6.25,8400,0.3,6.5,5750
92306,6,0.0,0.0,0,0.35,6.60,12000,0.5,7.0,7000
92307,7,0.0,0.0,0,0.50,7.10,15360,0.5,7.5,8750
92308,8,0.0,0.0,0,0.50,7.60,18630,0.7,8.2,12500
92309,9,0.0,0.0,0,0.90,8.50,21000,0.8,9.0,16250
92310,10,0.0,0.0,0,1.50,10.00,24000,1.0,10.0,19500
